year,quarter,dollar
1993,0,572.0
1993,1,593.0
1993,2,684.0
1993,3,823.0
1993,4,994.0
1993,5,1060.0
1993,6,989.5
1993,7,985.0
1993,8,1201.0
1993,9,1186.0
1993,10,1214.0
1993,11,1247.0
1994,0,1542.0
1994,1,1657.0
1994,2,1753.0
1994,3,1820.0
1994,4,1901.0
1994,5,1985.0
1994,6,2052.0
1994,7,2153.0
1994,8,2596.0
1994,9,3055.0
1994,10,3232.0
1994,11,3550.0
1995,0,4004.0
1995,1,4407.0
1995,2,4897.0
1995,3,5100.0
1995,4,4995.0
1995,5,4538.0
1995,6,4415.0
1995,7,4435.0
1995,8,4508.0
1995,9,4504.0
1995,10,4578.0
1995,11,4640.0
1996,0,4732.0
1996,1,4815.0
1996,2,4854.0
1996,3,4932.0
1996,4,5014.0
1996,5,5108.0
1996,6,5191.0
1996,7,5345.0
1996,8,5396.0
1996,9,5455.0
1996,10,5511.0
1996,11,5560.0
1997,0,5629.0
1997,1,5676.0
1997,2,5726.0
1997,3,5762.0
1997,4,5773.0
1997,5,5782.0
1997,6,5798.0
1997,7,5830.0
1997,8,5860.0
1997,9,5887.0
1997,10,5919.0
1997,11,5960.0
1998,0,6.026
1998,1,6.072
1998,2,6.106
1998,3,6.133
1998,4,6.164
1998,5,6.198
1998,6,6.238
1998,7,7.905
1998,8,16.0645
1998,9,16.01
1998,10,17.88
1998,11,20.65
1999,0,22.6
1999,1,22.86
1999,2,24.18
1999,3,24.23
1999,4,24.44
1999,5,24.22
1999,6,24.19
1999,7,24.75
1999,8,25.08
1999,9,26.05
1999,10,26.42
1999,11,27.0
2000,0,28.55
2000,1,28.66
2000,2,28.46
2000,3,28.4
2000,4,28.25
2000,5,28.07
2000,6,27.8
2000,7,27.75
2000,8,27.75
2000,9,27.83
2000,10,27.85
2000,11,28.16
2001,0,28.37
2001,1,28.72
2001,2,28.74
2001,3,28.83
2001,4,29.09
2001,5,29.07
2001,6,29.27
2001,7,29.37
2001,8,29.39
2001,9,29.7
2001,10,29.9
2001,11,30.14
2002,0,30.685
2002,1,30.9274
2002,2,31.1192
2002,3,31.1963
2002,4,31.3071
2002,5,31.4471
2002,6,31.4401
2002,7,31.5673
