year,quarter,oil_cost
1993,0,18.91
1993,1,18.42
1993,2,17.086667
1993,3,14.506667
1994,0,13.606667
1994,1,16.553333
1994,2,17.326667
1994,3,16.843333
1995,0,17.056667
1995,1,17.713333
1995,2,16.126667
1995,3,17.233333
1996,0,17.896667
1996,1,18.576667
1996,2,20.963333
1996,3,23.083333
1997,0,20.25
1997,1,18.81
1997,2,19.116667
1997,3,18.493333
1998,0,14.796667
1998,1,14.07
1998,2,13.443333
1998,3,11.403333
1999,0,12.49
1999,1,16.426667
1999,2,21.426667
1999,3,23.47
2000,0,26.276667
2000,1,27.59
2000,2,29.496667
2000,3,28.836667
2001,0,25.656667
2001,1,27.77
2001,2,24.786667
2001,3,19.803333
2002,0,22.143333
2002,1,25.5
2002,2,27.22
2002,3,26.513333
2003,0,30.356667
2003,1,26.11
2003,2,28.49
2003,3,28.773333
2004,0,30.973333
2004,1,35.186667
2004,2,42.006667
2004,3,44.983333
2005,0,50.09
2005,1,52.466667
2005,2,63.29
2005,3,57.376667
2006,0,64.553333
2006,1,72.14
2006,2,69.293333
2006,3,61.383333
2007,0,62.463333
2007,1,69.033333
2007,2,76.303333
2007,3,90.913333
2008,0,97.536667
2008,1,126.323333
2008,2,112.066667
2008,3,54.8
2009,0,47.153333
2009,1,61.873333
2009,2,70.14
2009,3,77.2
2010,0,77.25
2010,1,79.033333
2010,2,78.376667
2010,3,87.94
2011,0,110.056667
2011,1,118.366667
2011,2,111.45
2011,3,109.153333
2012,0,118.84
2012,1,106.26
2012,2,109.823333
2012,3,109.233333
2013,0,111.66
2013,1,101.64
2013,2,110.026667
2013,3,109.776667
2014,0,107.743333
2014,1,109.946667
2014,2,101.293333
2014,3,71.113333
2015,0,56.893333
2015,1,65.31
2015,2,51.576667
2015,3,43.816667
2016,0,36.77
2016,1,49.166667
2016,2,46.186667
2016,3,51.863333
2017,0,54.706667
2017,1,49.986667
2017,2,54.19
2017,3,63.936667
2018,0,68.366667
2018,1,77.4
2018,2,78.13
2018,3,62.66
2019,0,65.436667
2019,1,67.946667
2019,2,62.126667
2019,3,62.886667
2020,0,43.806667
2020,1,33.916667
2020,2,43.176667
2020,3,45.616667
2021,0,61.85
2021,1,70.566667
2021,2,75.946667
2021,3,77.576667
2022,0,100.036667
2022,1,115.663333
2022,2,98.153333
2022,3,88.723333
2023,0,82.716667
2023,1,75.7
2023,2,89.19
2023,3,80.973333
