year,quarter,inflation,dollar,yuan,oil_cost,cb_rate
1993,0,767.79,572.0,146.99,18.91,80.0
1993,1,704.926667,593.0,182.5,18.42,100.0
1993,2,944.196667,684.0,170.1,17.086667,160.0
1993,3,939.69,823.0,169.96,14.506667,200.0
1994,0,687.913333,1542.0,429.11,13.606667,210.0
1994,1,477.066667,1657.0,180.0,16.553333,205.0
1994,2,275.943333,1753.0,195.1,17.326667,145.0
1994,3,209.49,1820.0,205.0,16.843333,160.0
1995,0,216.55,4004.0,429.11,17.056667,193.333333
1995,1,222.38,4407.0,479.71,17.713333,198.333333
1995,2,221.256667,4897.0,550.56,16.126667,180.0
1995,3,159.473333,5100.0,588.36,17.233333,170.0
1996,0,90.833333,4732.0,561.26,17.896667,146.666667
1996,1,58.973333,4815.0,570.21,18.576667,120.0
1996,2,37.426667,4854.0,579.02,20.963333,103.333333
1996,3,24.323333,4932.0,584.91,23.083333,66.666667
1997,0,18.243333,5629.0,670.02,20.25,46.0
1997,1,14.813333,5676.0,678.7,18.81,38.0
1997,2,14.563333,5726.0,684.28,19.116667,24.0
1997,3,11.84,5762.0,690.18,18.493333,24.333333
1998,0,9.376667,6.026,7.1986,14.796667,31.666667
1998,1,7.276667,6.072,7.2779,14.07,70.0
1998,2,22.473333,6.106,7.3318,13.443333,66.666667
1998,3,70.043333,6.133,7.3751,11.403333,60.0
1999,0,102.58,22.6,24.94,12.49,60.0
1999,1,116.813333,22.86,27.51,16.426667,60.0
1999,2,103.19,24.18,27.59,21.426667,55.0
1999,3,48.066667,24.23,29.2,23.47,55.0
2000,0,25.51,28.55,32.61,26.276667,48.333333
2000,1,19.833333,28.66,34.49,27.59,33.0
2000,2,18.736667,28.46,34.62,29.496667,29.666667
2000,3,19.786667,28.4,34.38,28.836667,27.0
2001,0,22.19,28.37,34.02,25.656667,25.0
2001,1,24.42,28.72,34.27,27.77,25.0
2001,2,20.983333,28.74,34.7,24.786667,25.0
2001,3,18.676667,28.83,34.74,19.803333,25.0
2002,0,17.793333,30.685,36.4117,22.143333,25.0
2002,1,15.556667,30.9274,37.0744,25.5,23.666667
2002,2,14.983333,31.1192,37.3673,27.22,22.333333
2002,3,15.006667,31.1963,37.5361,26.513333,21.0
2003,0,14.63,31.8222,38.399,30.356667,20.0
2003,1,14.056667,31.5762,38.4484,26.11,18.0
2003,2,13.513333,31.3805,38.1475,28.49,16.0
2003,3,12.556667,31.1,37.9111,28.773333,16.0
2004,0,10.703333,28.4937,35.586,30.973333,14.666667
2004,1,10.166667,28.5156,34.4222,35.186667,14.0
2004,2,11.006667,28.4853,34.4461,42.006667,13.0
2004,3,11.656667,28.8834,34.4146,44.983333,13.0
2005,0,13.096667,28.0845,33.5271,50.09,13.0
2005,1,13.763333,27.7738,33.9328,52.466667,13.0
2005,2,12.673333,27.8256,33.5574,63.29,13.0
2005,3,11.286667,27.7726,33.62,57.376667,13.0
2006,0,10.833333,28.1207,35.6705,64.553333,12.0
2006,1,9.406667,28.1223,34.8823,72.14,12.0
2006,2,9.44,27.7626,34.9749,69.293333,11.5
